"variable"	"Group"	"Mean"
"K00012"	"Control"	0.109481043792589
"K00012"	"Disease"	0.128976206141435
"K00027"	"Control"	0.106483087837039
"K00027"	"Disease"	0.12073555190347
"K00053"	"Control"	0.103921334150445
"K00053"	"Disease"	0.115613237724586
"K00088"	"Control"	0.134244103713067
"K00088"	"Disease"	0.149718807825186
"K00099"	"Control"	0.117720319531172
"K00099"	"Disease"	0.128955448097044
"K00174"	"Control"	0.087039468089037
"K00174"	"Disease"	0.136537745073791
"K00175"	"Control"	0.0786887952825645
"K00175"	"Disease"	0.122109468386579
"K00266"	"Control"	0.183624359957602
"K00266"	"Disease"	0.170092316173495
"K00297"	"Control"	0.119039554576285
"K00297"	"Disease"	0.132952074832743
"K00548"	"Control"	0.106618850782547
"K00548"	"Disease"	0.11757869775518
"K00648"	"Control"	0.122613372270835
"K00648"	"Disease"	0.138746213388187
"K00656"	"Control"	0.177783305867383
"K00656"	"Disease"	0.141684663979117
"K00760"	"Control"	0.105812756798288
"K00760"	"Disease"	0.12016123198582
"K00764"	"Control"	0.169754909217954
"K00764"	"Disease"	0.193235628638774
"K00784"	"Control"	0.108503904200067
"K00784"	"Disease"	0.121226654565517
"K00791"	"Control"	0.140419382216122
"K00791"	"Disease"	0.161642297518336
"K00800"	"Control"	0.105416013789902
"K00800"	"Disease"	0.122788701257024
"K00826"	"Control"	0.12009765721156
"K00826"	"Disease"	0.136874977592206
"K00831"	"Control"	0.104180973896448
"K00831"	"Disease"	0.125624343023124
"K00858"	"Control"	0.112377808582051
"K00858"	"Disease"	0.124738622842273
"K00864"	"Control"	0.10962085098111
"K00864"	"Disease"	0.0964972800555258
"K00865"	"Control"	0.111092688842254
"K00865"	"Disease"	0.0978668481559542
"K00873"	"Control"	0.146409194778864
"K00873"	"Disease"	0.158164021213926
"K00876"	"Control"	0.104488849986165
"K00876"	"Disease"	0.130079889510599
"K00925"	"Control"	0.127354081000674
"K00925"	"Disease"	0.146722897916145
"K00927"	"Control"	0.130562594862422
"K00927"	"Disease"	0.145411230559317
"K00951"	"Control"	0.169948967656481
"K00951"	"Disease"	0.205046611512447
"K00954"	"Control"	0.101615940426975
"K00954"	"Disease"	0.112521578384593
"K00971"	"Control"	0.10424100189914
"K00971"	"Disease"	0.146556664312352
"K00981"	"Control"	0.122260253482686
"K00981"	"Disease"	0.135737101731585
"K01000"	"Control"	0.115406674964244
"K01000"	"Disease"	0.129335739803314
"K01006"	"Control"	0.114284086609364
"K01006"	"Disease"	0.145726086345608
"K01126"	"Control"	0.154845587284131
"K01126"	"Disease"	0.188871802948288
"K01129"	"Control"	0.120379920368072
"K01129"	"Disease"	0.132039244840661
"K01130"	"Control"	0.0846546773444242
"K01130"	"Disease"	0.130780303323257
"K01190"	"Control"	0.465583417052459
"K01190"	"Disease"	0.625584573367313
"K01198"	"Control"	0.190328283884952
"K01198"	"Disease"	0.260418501420776
"K01206"	"Control"	0.258443356856742
"K01206"	"Disease"	0.354015999324177
"K01209"	"Control"	0.129622494542181
"K01209"	"Disease"	0.185275149340804
"K01223"	"Control"	0.173018500539959
"K01223"	"Disease"	0.10355880896097
"K01270"	"Control"	0.133285334912814
"K01270"	"Disease"	0.171372946637854
"K01338"	"Control"	0.108183357599397
"K01338"	"Disease"	0.121047843105077
"K01424"	"Control"	0.155719570122397
"K01424"	"Disease"	0.176937334231709
"K01442"	"Control"	0.110274468069325
"K01442"	"Disease"	0.146500340135168
"K01465"	"Control"	0.103612536265799
"K01465"	"Disease"	0.120862878675425
"K01662"	"Control"	0.163963261101554
"K01662"	"Disease"	0.189511792132373
"K01686"	"Control"	0.14389935814793
"K01686"	"Disease"	0.191887815586433
"K01687"	"Control"	0.105165458630079
"K01687"	"Disease"	0.115633980958125
"K01703"	"Control"	0.110201242285662
"K01703"	"Disease"	0.118768318200905
"K01704"	"Control"	0.0972445534238002
"K01704"	"Disease"	0.105694187942494
"K01733"	"Control"	0.109890478105397
"K01733"	"Disease"	0.122998928978362
"K01740"	"Control"	0.170687924280893
"K01740"	"Disease"	0.205555038148091
"K01752"	"Control"	0.207799036062001
"K01752"	"Disease"	0.187227965667281
"K01754"	"Control"	0.109151348522627
"K01754"	"Disease"	0.0938728065996452
"K01755"	"Control"	0.118160045105374
"K01755"	"Disease"	0.130923726474374
"K01785"	"Control"	0.182463020180811
"K01785"	"Disease"	0.22729520255394
"K01791"	"Control"	0.113439108782267
"K01791"	"Disease"	0.129776548381567
"K01866"	"Control"	0.132045071667294
"K01866"	"Disease"	0.153830384621325
"K01867"	"Control"	0.133969569515753
"K01867"	"Disease"	0.147826450467283
"K01868"	"Control"	0.141173231703267
"K01868"	"Disease"	0.158841164913277
"K01869"	"Control"	0.137166870961732
"K01869"	"Disease"	0.154603200135941
"K01874"	"Control"	0.146323776315737
"K01874"	"Disease"	0.163833924446454
"K01880"	"Control"	0.103695641303744
"K01880"	"Disease"	0.139063436792076
"K01883"	"Control"	0.128561796461619
"K01883"	"Disease"	0.1422777420092
"K01886"	"Control"	0.10306935427382
"K01886"	"Disease"	0.116575882970643
"K01887"	"Control"	0.141924197177556
"K01887"	"Disease"	0.15682540270116
"K01893"	"Control"	0.118138478425764
"K01893"	"Disease"	0.133435669483882
"K01912"	"Control"	0.112574368418305
"K01912"	"Disease"	0.143153651497035
"K01915"	"Control"	0.254521460961931
"K01915"	"Disease"	0.290464634420194
"K01923"	"Control"	0.108091821728698
"K01923"	"Disease"	0.124909154852576
"K01928"	"Control"	0.125017826971858
"K01928"	"Disease"	0.140113861441832
"K01937"	"Control"	0.131939438036367
"K01937"	"Disease"	0.149130170160167
"K01940"	"Control"	0.122446330022672
"K01940"	"Disease"	0.144323263555009
"K01991"	"Control"	0.145497056669184
"K01991"	"Disease"	0.190274193337407
"K02073"	"Control"	0.112587185356881
"K02073"	"Disease"	0.0934790265982851
"K02171"	"Control"	0.118788024654482
"K02171"	"Disease"	0.160069107733591
"K02316"	"Control"	0.280728783641827
"K02316"	"Disease"	0.363162024360225
"K02342"	"Control"	0.120307962810878
"K02342"	"Disease"	0.151134176327339
"K02358"	"Control"	0.15926686919692
"K02358"	"Disease"	0.175067602344824
"K02564"	"Control"	0.14449794490816
"K02564"	"Disease"	0.181222867883334
"K02867"	"Control"	0.104963341201507
"K02867"	"Disease"	0.118105133786038
"K02871"	"Control"	0.101303452967276
"K02871"	"Disease"	0.113427429728096
"K02874"	"Control"	0.0949526687952116
"K02874"	"Disease"	0.107084663248196
"K02906"	"Control"	0.121589519621979
"K02906"	"Disease"	0.135990685099369
"K02933"	"Control"	0.113892217067318
"K02933"	"Disease"	0.128901456181707
"K02945"	"Control"	0.142725734893761
"K02945"	"Disease"	0.161570658081566
"K02967"	"Control"	0.117795451227378
"K02967"	"Disease"	0.13342992741835
"K02986"	"Control"	0.120567508278905
"K02986"	"Disease"	0.133346474257524
"K02994"	"Control"	0.0996992252440841
"K02994"	"Disease"	0.114446350144776
"K03040"	"Control"	0.132093068235075
"K03040"	"Disease"	0.155184943651755
"K03043"	"Control"	0.161657470405851
"K03043"	"Disease"	0.181541014106347
"K03046"	"Control"	0.153371079077182
"K03046"	"Disease"	0.171076602462075
"K03076"	"Control"	0.136272498381375
"K03076"	"Disease"	0.159162382986188
"K03100"	"Control"	0.203006796195084
"K03100"	"Disease"	0.25247889879116
"K03205"	"Control"	0.458517328317659
"K03205"	"Disease"	0.649986858767813
"K03217"	"Control"	0.143476823030036
"K03217"	"Disease"	0.15934640672293
"K03555"	"Control"	0.121707962985521
"K03555"	"Disease"	0.136824181887085
"K03584"	"Control"	0.115098325384175
"K03584"	"Disease"	0.128630886893864
"K03648"	"Control"	0.0974865097465442
"K03648"	"Disease"	0.113043387407487
"K03654"	"Control"	0.122843185698364
"K03654"	"Disease"	0.155188903761998
"K03671"	"Control"	0.157706406311847
"K03671"	"Disease"	0.198501182092648
"K03685"	"Control"	0.114166466000211
"K03685"	"Disease"	0.125904837386704
"K03701"	"Control"	0.226519060289145
"K03701"	"Disease"	0.263772103431139
"K03703"	"Control"	0.129747238861944
"K03703"	"Disease"	0.144725266790748
"K03737"	"Control"	0.143810626369679
"K03737"	"Disease"	0.166660087326391
"K04079"	"Control"	0.127375103856174
"K04079"	"Disease"	0.155085421710533
"K05515"	"Control"	0.112918937724361
"K05515"	"Disease"	0.13120312545463
"K06131"	"Control"	0.186407149041316
"K06131"	"Disease"	0.216828517995092
"K06881"	"Control"	0.0996593822294613
"K06881"	"Disease"	0.117345226881716
"K07029"	"Control"	0.135398379127231
"K07029"	"Disease"	0.155464967010224
"K07165"	"Control"	0.498306749004717
"K07165"	"Disease"	0.836225489241676
"K07407"	"Control"	0.250121435395867
"K07407"	"Disease"	0.305452771283634
"K07456"	"Control"	0.109763201885684
"K07456"	"Disease"	0.131280626648958
"K09808"	"Control"	0.100883057601049
"K09808"	"Disease"	0.128652688162842
"K09811"	"Control"	0.115744332856306
"K09811"	"Disease"	0.13135769478086
"K10206"	"Control"	0.0920523724756241
"K10206"	"Disease"	0.122555198323582
"K11749"	"Control"	0.120261292640768
"K11749"	"Disease"	0.135829258482829
"K11753"	"Control"	0.123040505993864
"K11753"	"Disease"	0.136944771882624
"K12373"	"Control"	0.320841707825887
"K12373"	"Disease"	0.485915843781784
"K13993"	"Control"	0.115877545060115
"K13993"	"Disease"	0.139777999127989
"K14155"	"Control"	0.153168885157915
"K14155"	"Disease"	0.185214073492133
"K15633"	"Control"	0.124529793896461
"K15633"	"Disease"	0.145885149451574
"K15923"	"Control"	0.172122963058668
"K15923"	"Disease"	0.225381001649813
"K17828"	"Control"	0.0948787731374336
"K17828"	"Disease"	0.109549767390003
"K17836"	"Control"	0.0890569941512387
"K17836"	"Disease"	0.131467785895878
"K18682"	"Control"	0.112744571295759
"K18682"	"Disease"	0.13494713144874
"K20509"	"Control"	0.142032218401897
"K20509"	"Disease"	0.193928628547429
"K21636"	"Control"	0.182818069187383
"K21636"	"Disease"	0.204321499538619
